# BUSCO version is: 5.5.0 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	h1tg000007l_path:713539-728035	713539	728035	+	4075.8	3263	https://www.orthodb.org/v10?query=0at4891	Midasin
6at4891	Complete	h1tg000016l_path:303124-314358	303124	314358	+	4231.5	2957	https://www.orthodb.org/v10?query=6at4891	PIK-related kinase
23at4891	Complete	h1tg000007l_path:1014397-1023819	1014397	1023819	+	2442.3	2228	https://www.orthodb.org/v10?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Complete	h1tg000003l_path:172334-165744	172334	165744	-	3405.2	1774	https://www.orthodb.org/v10?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	h1tg000007l_path:761539-770400	761539	770400	+	1708.2	1691	https://www.orthodb.org/v10?query=50at4891	Protein CSF1
61at4891	Complete	h1tg000014l_path:1369700-1379505	1369700	1379505	+	1841.0	1581	https://www.orthodb.org/v10?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Fragmented	h1tg000016l_path:481319-429873	481319	429873	-	1689.6	927	https://www.orthodb.org/v10?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	h1tg000006l_path:661259-654620	661259	654620	-	3330.5	1831	https://www.orthodb.org/v10?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	h1tg000002l_path:131717-139087	131717	139087	+	2013.2	1515	https://www.orthodb.org/v10?query=93at4891	protein kinase regulator activity
95at4891	Complete	h1tg000014l_path:155618-149183	155618	149183	-	3139.3	1749	https://www.orthodb.org/v10?query=95at4891	Glutamate synthase
115at4891	Complete	h1tg000017l_path:113235-106120	113235	106120	-	1488.9	1253	https://www.orthodb.org/v10?query=115at4891	transcriptional activator leucine zipper
145at4891	Complete	h1tg000012l_path:505595-512699	505595	512699	+	1222.8	1233	https://www.orthodb.org/v10?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	h1tg000012l_path:59387-51027	59387	51027	-	348.4	249	https://www.orthodb.org/v10?query=154at4891	Serine/threonine-protein kinase Tel1
170at4891	Complete	h1tg000006l_path:148194-154834	148194	154834	+	2294.0	1636	https://www.orthodb.org/v10?query=170at4891	DNA polymerase epsilon catalytic subunit
216at4891	Complete	h1tg000007l_path:334170-339500	334170	339500	+	1106.0	920	https://www.orthodb.org/v10?query=216at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
227at4891	Complete	h1tg000002l_path:107693-102755	107693	102755	-	2550.8	1454	https://www.orthodb.org/v10?query=227at4891	Clathrin heavy chain
245at4891	Complete	h1tg000008l_path:961523-966511	961523	966511	+	2438.1	1393	https://www.orthodb.org/v10?query=245at4891	DNA-directed RNA polymerase subunit
274at4891	Complete	h1tg000004l_path:100708-106383	100708	106383	+	2545.6	1516	https://www.orthodb.org/v10?query=274at4891	Fatty acid synthase
300at4891	Complete	h1tg000001l_path:86863-80510	86863	80510	-	1260.8	904	https://www.orthodb.org/v10?query=300at4891	Phosphatidylinositol-4-phosphate 5-kinase, core
